sid|fname
345|datasets/VCTK-Corpus/wav22/p345/p345_198.wav|We are not going to be complacent.
236|datasets/VCTK-Corpus/wav22/p236/p236_429.wav|I stayed away from the defence.
226|datasets/VCTK-Corpus/wav22/p226/p226_315.wav|I should think so, too.
308|datasets/VCTK-Corpus/wav22/p308/p308_267.wav|Some have accepted it as a miracle without physical explanation.
250|datasets/VCTK-Corpus/wav22/p250/p250_413.wav|We've had several problems over injuries.
287|datasets/VCTK-Corpus/wav22/p287/p287_369.wav|Did he trip ?
311|datasets/VCTK-Corpus/wav22/p311/p311_408.wav|In short, the club was broke.
238|datasets/VCTK-Corpus/wav22/p238/p238_201.wav|Others have tried to explain the phenomenon physically.
277|datasets/VCTK-Corpus/wav22/p277/p277_062.wav|Who would have?
323|datasets/VCTK-Corpus/wav22/p323/p323_129.wav|What's it for?
299|datasets/VCTK-Corpus/wav22/p299/p299_096.wav|Having guidelines in advance is helpful.
246|datasets/VCTK-Corpus/wav22/p246/p246_344.wav|Failure to comply with the order is likely to result in prison.
285|datasets/VCTK-Corpus/wav22/p285/p285_081.wav|It's great, because it takes a lot of pressure off the players.
376|datasets/VCTK-Corpus/wav22/p376/p376_108.wav|"He added that public transport improvements must also be maintained."
261|datasets/VCTK-Corpus/wav22/p261/p261_006.wav|Potions said he would drive.
238|datasets/VCTK-Corpus/wav22/p238/p238_069.wav|What are they for ?
245|datasets/VCTK-Corpus/wav22/p245/p245_132.wav|We work on the same level.
306|datasets/VCTK-Corpus/wav22/p306/p306_121.wav|They are not an item.
347|datasets/VCTK-Corpus/wav22/p347/p347_194.wav|This is a club on the rise.
252|datasets/VCTK-Corpus/wav22/p252/p252_068.wav|Is there a waiting list ?
256|datasets/VCTK-Corpus/wav22/p256/p256_204.wav|The workers do not want to read about their futures in newspapers.
279|datasets/VCTK-Corpus/wav22/p279/p279_193.wav|Here's a clue.
374|datasets/VCTK-Corpus/wav22/p374/p374_162.wav|They want it to work.
250|datasets/VCTK-Corpus/wav22/p250/p250_138.wav|One-third of the places are already taken.
374|datasets/VCTK-Corpus/wav22/p374/p374_075.wav|It is the manager's decision.
231|datasets/VCTK-Corpus/wav22/p231/p231_461.wav|I became a widow overnight.
292|datasets/VCTK-Corpus/wav22/p292/p292_059.wav|We are on a four-year mission.
229|datasets/VCTK-Corpus/wav22/p229/p229_301.wav|Ask her to bring these things with her from the store.
282|datasets/VCTK-Corpus/wav22/p282/p282_068.wav|Life becomes a song.
360|datasets/VCTK-Corpus/wav22/p360/p360_273.wav|Or is it?
264|datasets/VCTK-Corpus/wav22/p264/p264_460.wav|If they gave me free electricity I still wouldn't support the plans.)
285|datasets/VCTK-Corpus/wav22/p285/p285_055.wav|Police could not say if the two incidents were connected.
345|datasets/VCTK-Corpus/wav22/p345/p345_024.wav|But could it afford to run it?
330|datasets/VCTK-Corpus/wav22/p330/p330_217.wav|Euro The single currency is a fact.
248|datasets/VCTK-Corpus/wav22/p248/p248_327.wav|The move was welcomed by the Roman Catholic Church in Scotland.
247|datasets/VCTK-Corpus/wav22/p247/p247_467.wav|Do I think about them often ?)
248|datasets/VCTK-Corpus/wav22/p248/p248_114.wav|Scotland had great assets.
317|datasets/VCTK-Corpus/wav22/p317/p317_081.wav|McMaster is keen to draw attention to others.
374|datasets/VCTK-Corpus/wav22/p374/p374_424.wav|Scottish Women appear at Eden Court, Inverness, tonight.
274|datasets/VCTK-Corpus/wav22/p274/p274_304.wav|You will have seen the adverts.)
288|datasets/VCTK-Corpus/wav22/p288/p288_363.wav|It was a funny game.
341|datasets/VCTK-Corpus/wav22/p341/p341_252.wav|They had had time for little else.
317|datasets/VCTK-Corpus/wav22/p317/p317_246.wav|They will have to cut through the roof.
333|datasets/VCTK-Corpus/wav22/p333/p333_349.wav|For now, we must take one game at a time.
232|datasets/VCTK-Corpus/wav22/p232/p232_210.wav|One MP said he feared the job losses were only the beginning.
333|datasets/VCTK-Corpus/wav22/p333/p333_163.wav|What's it all about?
266|datasets/VCTK-Corpus/wav22/p266/p266_368.wav|The most important thing is to get a programme for government.
294|datasets/VCTK-Corpus/wav22/p294/p294_006.wav|People come to see the Highlands.
351|datasets/VCTK-Corpus/wav22/p351/p351_264.wav|We will be victorious.
245|datasets/VCTK-Corpus/wav22/p245/p245_335.wav|The council has proposed a temporary barrier to protect the monument.
304|datasets/VCTK-Corpus/wav22/p304/p304_242.wav|Thirty people have applied for his job!
333|datasets/VCTK-Corpus/wav22/p333/p333_304.wav|Peter, of course, refuses to conform.
303|datasets/VCTK-Corpus/wav22/p303/p303_325.wav|I can appear to be nice and lovely.
313|datasets/VCTK-Corpus/wav22/p313/p313_049.wav|How do we get more people in?
307|datasets/VCTK-Corpus/wav22/p307/p307_102.wav|I have no plans to change the oath.
376|datasets/VCTK-Corpus/wav22/p376/p376_084.wav|"It is not just about pay."
227|datasets/VCTK-Corpus/wav22/p227/p227_059.wav|However, we have to be cautious.
271|datasets/VCTK-Corpus/wav22/p271/p271_261.wav|Tommy is not a problem.
376|datasets/VCTK-Corpus/wav22/p376/p376_040.wav|"But we are not immune to the problem."
302|datasets/VCTK-Corpus/wav22/p302/p302_304.wav|Scottish Women appear at Eden Court, Inverness, tonight.
360|datasets/VCTK-Corpus/wav22/p360/p360_390.wav|Human beings are always the same.
330|datasets/VCTK-Corpus/wav22/p330/p330_164.wav|I was unconscious for two or three seconds.
275|datasets/VCTK-Corpus/wav22/p275/p275_217.wav|It's been a long, long journey.
262|datasets/VCTK-Corpus/wav22/p262/p262_296.wav|It's never too late.
269|datasets/VCTK-Corpus/wav22/p269/p269_223.wav|I was so nervous.
252|datasets/VCTK-Corpus/wav22/p252/p252_297.wav|The car driver died.
351|datasets/VCTK-Corpus/wav22/p351/p351_044.wav|They seem to turn up for them.
287|datasets/VCTK-Corpus/wav22/p287/p287_074.wav|He will need that machine.
363|datasets/VCTK-Corpus/wav22/p363/p363_200.wav|He did that last Sunday.
276|datasets/VCTK-Corpus/wav22/p276/p276_160.wav|You have caught a serial killer.
374|datasets/VCTK-Corpus/wav22/p374/p374_386.wav|It's up to them.
230|datasets/VCTK-Corpus/wav22/p230/p230_360.wav|These days are long gone.
283|datasets/VCTK-Corpus/wav22/p283/p283_073.wav|So what is the campaign about ?
252|datasets/VCTK-Corpus/wav22/p252/p252_026.wav|That remains the same.
285|datasets/VCTK-Corpus/wav22/p285/p285_031.wav|No-one has appeared in court in relation to her death.
227|datasets/VCTK-Corpus/wav22/p227/p227_226.wav|I can't wait to meet him.
295|datasets/VCTK-Corpus/wav22/p295/p295_065.wav|I've never regretted my decision.
278|datasets/VCTK-Corpus/wav22/p278/p278_034.wav|Some have accepted it as a miracle without physical explanation.
277|datasets/VCTK-Corpus/wav22/p277/p277_241.wav|It will decide today whether he should be struck off the register.
250|datasets/VCTK-Corpus/wav22/p250/p250_360.wav|That was a disgraceful performance.
303|datasets/VCTK-Corpus/wav22/p303/p303_164.wav|Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.
313|datasets/VCTK-Corpus/wav22/p313/p313_149.wav|We are a party for people, not against people.
330|datasets/VCTK-Corpus/wav22/p330/p330_133.wav|I felt really good until Friday.
336|datasets/VCTK-Corpus/wav22/p336/p336_068.wav|Get used to it.
304|datasets/VCTK-Corpus/wav22/p304/p304_234.wav|Well it had to be something, that's for sure.
232|datasets/VCTK-Corpus/wav22/p232/p232_009.wav|Johnson was pretty low.
360|datasets/VCTK-Corpus/wav22/p360/p360_407.wav|We know the fight is going to happen.
304|datasets/VCTK-Corpus/wav22/p304/p304_011.wav|He took over our lives.
376|datasets/VCTK-Corpus/wav22/p376/p376_242.wav|"There was a final revealing detail about the broadcast."
343|datasets/VCTK-Corpus/wav22/p343/p343_027.wav|His is a success story by any standard.
232|datasets/VCTK-Corpus/wav22/p232/p232_083.wav|It does not appear at this stage that alcohol was a factor.
255|datasets/VCTK-Corpus/wav22/p255/p255_235.wav|I kept going for her.
231|datasets/VCTK-Corpus/wav22/p231/p231_268.wav|I miss the freedom that I had.
257|datasets/VCTK-Corpus/wav22/p257/p257_345.wav|We were surprised to see the photograph.
335|datasets/VCTK-Corpus/wav22/p335/p335_044.wav|The text is reduced to bubbles.
234|datasets/VCTK-Corpus/wav22/p234/p234_260.wav|That admission is not surprising.
253|datasets/VCTK-Corpus/wav22/p253/p253_329.wav|The city council is a major property owner in the area.
258|datasets/VCTK-Corpus/wav22/p258/p258_266.wav|He is slightly confused.
238|datasets/VCTK-Corpus/wav22/p238/p238_446.wav|And it had two seats.
273|datasets/VCTK-Corpus/wav22/p273/p273_218.wav|I always felt they played for me.
241|datasets/VCTK-Corpus/wav22/p241/p241_304.wav|It's been hard.
276|datasets/VCTK-Corpus/wav22/p276/p276_421.wav|A winter of discontent awaits.
259|datasets/VCTK-Corpus/wav22/p259/p259_213.wav|It is a variable condition and the diagnosis is difficult.)
276|datasets/VCTK-Corpus/wav22/p276/p276_118.wav|Before the game we went for a pint.
231|datasets/VCTK-Corpus/wav22/p231/p231_258.wav|But it is up again.
312|datasets/VCTK-Corpus/wav22/p312/p312_142.wav|It's one up to the Scots.
229|datasets/VCTK-Corpus/wav22/p229/p229_134.wav|It's not even finished.
335|datasets/VCTK-Corpus/wav22/p335/p335_011.wav|Nowadays, it is workers united.
361|datasets/VCTK-Corpus/wav22/p361/p361_120.wav|There was nothing she could do.
362|datasets/VCTK-Corpus/wav22/p362/p362_367.wav|That is why he is so special.
258|datasets/VCTK-Corpus/wav22/p258/p258_306.wav|She has been shot.
287|datasets/VCTK-Corpus/wav22/p287/p287_247.wav|We have to be very, very careful.
229|datasets/VCTK-Corpus/wav22/p229/p229_053.wav|The visual arts committee took this decision in December.
239|datasets/VCTK-Corpus/wav22/p239/p239_466.wav|They are interior designers and architects.
295|datasets/VCTK-Corpus/wav22/p295/p295_180.wav|To the Hebrews it was a token that there would be no more universal floods.
318|datasets/VCTK-Corpus/wav22/p318/p318_119.wav|There is nothing to fear.
236|datasets/VCTK-Corpus/wav22/p236/p236_220.wav|They never gave up hope.
362|datasets/VCTK-Corpus/wav22/p362/p362_312.wav|This plan is an agenda for action.
284|datasets/VCTK-Corpus/wav22/p284/p284_064.wav|They are not advertised.
329|datasets/VCTK-Corpus/wav22/p329/p329_113.wav|We have been preparing all year.
249|datasets/VCTK-Corpus/wav22/p249/p249_076.wav|When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.
302|datasets/VCTK-Corpus/wav22/p302/p302_012.wav|We are determined to establish the facts.
232|datasets/VCTK-Corpus/wav22/p232/p232_072.wav|She is free.
238|datasets/VCTK-Corpus/wav22/p238/p238_134.wav|And they all have a vote.
295|datasets/VCTK-Corpus/wav22/p295/p295_036.wav|They are a perfectly good thing in principle.
288|datasets/VCTK-Corpus/wav22/p288/p288_405.wav|The shareholders will vote to wind up the company on Friday morning.
304|datasets/VCTK-Corpus/wav22/p304/p304_286.wav|It's something he works hard at achieving.
298|datasets/VCTK-Corpus/wav22/p298/p298_389.wav|Tony Blair, can you see her face?
343|datasets/VCTK-Corpus/wav22/p343/p343_130.wav|It is one of those things.
304|datasets/VCTK-Corpus/wav22/p304/p304_163.wav|I see no reason for them to be.
259|datasets/VCTK-Corpus/wav22/p259/p259_401.wav|Adventure is the champagne of life.)
265|datasets/VCTK-Corpus/wav22/p265/p265_195.wav|I'm so angry.
239|datasets/VCTK-Corpus/wav22/p239/p239_209.wav|We lost our composure towards the interval, he said.
255|datasets/VCTK-Corpus/wav22/p255/p255_335.wav|I came to complete.
247|datasets/VCTK-Corpus/wav22/p247/p247_257.wav|A similar scheme is under way in central Scotland.)
250|datasets/VCTK-Corpus/wav22/p250/p250_383.wav|Meetings will also remain private.
363|datasets/VCTK-Corpus/wav22/p363/p363_220.wav|How do you feel?
310|datasets/VCTK-Corpus/wav22/p310/p310_129.wav|He was the youngest of the British team.
279|datasets/VCTK-Corpus/wav22/p279/p279_141.wav|That has been the easy part.
232|datasets/VCTK-Corpus/wav22/p232/p232_088.wav|It will probably take me just days to spend it.
340|datasets/VCTK-Corpus/wav22/p340/p340_003.wav|When will this change?
249|datasets/VCTK-Corpus/wav22/p249/p249_246.wav|But I felt it was important to introduce the element of tradition.
281|datasets/VCTK-Corpus/wav22/p281/p281_421.wav|It is not either national standards or local control.
299|datasets/VCTK-Corpus/wav22/p299/p299_191.wav|We don't have the credible evidence.
304|datasets/VCTK-Corpus/wav22/p304/p304_382.wav|I lost my head.
231|datasets/VCTK-Corpus/wav22/p231/p231_067.wav|I remain a buyer of the shares.
263|datasets/VCTK-Corpus/wav22/p263/p263_230.wav|I came home by ambulance.
249|datasets/VCTK-Corpus/wav22/p249/p249_204.wav|Both of those promises have already been honoured.
277|datasets/VCTK-Corpus/wav22/p277/p277_081.wav|Mr Ferguson became a minister after seven years as a journalist.
270|datasets/VCTK-Corpus/wav22/p270/p270_142.wav|In France, the reverse is true.
361|datasets/VCTK-Corpus/wav22/p361/p361_371.wav|Then everyone must consider their future.
306|datasets/VCTK-Corpus/wav22/p306/p306_045.wav|The law will take its course.
277|datasets/VCTK-Corpus/wav22/p277/p277_316.wav|Is that possible?
247|datasets/VCTK-Corpus/wav22/p247/p247_112.wav|We did what we had to do.)
341|datasets/VCTK-Corpus/wav22/p341/p341_218.wav|However, the report was incorrect.
313|datasets/VCTK-Corpus/wav22/p313/p313_392.wav|Instead, it's back to the drawing board.
250|datasets/VCTK-Corpus/wav22/p250/p250_071.wav|You will be very welcome.
271|datasets/VCTK-Corpus/wav22/p271/p271_105.wav|On the outside of an airport, it is very difficult.
334|datasets/VCTK-Corpus/wav22/p334/p334_280.wav|Dancing will help his ankles and his feet.
243|datasets/VCTK-Corpus/wav22/p243/p243_154.wav|Does the name matter ?
268|datasets/VCTK-Corpus/wav22/p268/p268_163.wav|Her political persuasion is no secret.
245|datasets/VCTK-Corpus/wav22/p245/p245_158.wav|We've got a lot of respect for the Lions.
306|datasets/VCTK-Corpus/wav22/p306/p306_036.wav|It is truly fields of miracles.
293|datasets/VCTK-Corpus/wav22/p293/p293_328.wav|Patients will be partners in decision making.
282|datasets/VCTK-Corpus/wav22/p282/p282_103.wav|The shareholders will vote to wind up the company on Friday morning.
254|datasets/VCTK-Corpus/wav22/p254/p254_269.wav|It's a way of life.
240|datasets/VCTK-Corpus/wav22/p240/p240_216.wav|It had all been arranged.
267|datasets/VCTK-Corpus/wav22/p267/p267_104.wav|What are you not good at ?
361|datasets/VCTK-Corpus/wav22/p361/p361_106.wav|Hopefully, he will get a lucky break.
313|datasets/VCTK-Corpus/wav22/p313/p313_248.wav|The hotel was huge.
239|datasets/VCTK-Corpus/wav22/p239/p239_427.wav|Holland won by five wickets.
232|datasets/VCTK-Corpus/wav22/p232/p232_369.wav|That is very hard, alone.
340|datasets/VCTK-Corpus/wav22/p340/p340_390.wav|It's good to be back.
234|datasets/VCTK-Corpus/wav22/p234/p234_252.wav|We also need a small plastic snake and a big toy frog for the kids.
287|datasets/VCTK-Corpus/wav22/p287/p287_045.wav|After five weeks the vehicle will be sold at auction.
300|datasets/VCTK-Corpus/wav22/p300/p300_010.wav|He was the deputy editor at the paper.
345|datasets/VCTK-Corpus/wav22/p345/p345_248.wav|I still think he will win.
234|datasets/VCTK-Corpus/wav22/p234/p234_039.wav|Of further privacy, he had no need.
257|datasets/VCTK-Corpus/wav22/p257/p257_169.wav|Rather than answer, she resigned.
231|datasets/VCTK-Corpus/wav22/p231/p231_050.wav|We live on an island.
275|datasets/VCTK-Corpus/wav22/p275/p275_298.wav|We also enjoyed a lot of support.
253|datasets/VCTK-Corpus/wav22/p253/p253_310.wav|We are in the end game.
306|datasets/VCTK-Corpus/wav22/p306/p306_076.wav|Brown is an interesting man, but he is not desperate.
347|datasets/VCTK-Corpus/wav22/p347/p347_095.wav|But Annika is just amazing.
283|datasets/VCTK-Corpus/wav22/p283/p283_288.wav|Glasgow is a friendly city.
269|datasets/VCTK-Corpus/wav22/p269/p269_162.wav|They will run a mile.
277|datasets/VCTK-Corpus/wav22/p277/p277_102.wav|I've put my own money into this project.
273|datasets/VCTK-Corpus/wav22/p273/p273_352.wav|Paterson can afford to be generous.
276|datasets/VCTK-Corpus/wav22/p276/p276_029.wav|I've no idea how it works.
300|datasets/VCTK-Corpus/wav22/p300/p300_007.wav|Was all this really just five months ago?
241|datasets/VCTK-Corpus/wav22/p241/p241_081.wav|Next league matches Celtic.
281|datasets/VCTK-Corpus/wav22/p281/p281_060.wav|Is there a waiting list ?
226|datasets/VCTK-Corpus/wav22/p226/p226_062.wav|She is free.
285|datasets/VCTK-Corpus/wav22/p285/p285_117.wav|I love the Dome.
308|datasets/VCTK-Corpus/wav22/p308/p308_061.wav|We also need a small plastic snake and a big toy frog for the kids.
293|datasets/VCTK-Corpus/wav22/p293/p293_134.wav|It's been such a long haul.
280|datasets/VCTK-Corpus/wav22/p280/p280_365.wav|I am fighting the force of nature.
326|datasets/VCTK-Corpus/wav22/p326/p326_196.wav|People tended to stay there for some time.
284|datasets/VCTK-Corpus/wav22/p284/p284_025.wav|It's hard to make these decisions at my age.
265|datasets/VCTK-Corpus/wav22/p265/p265_174.wav|The rainbow is a division of white light into many beautiful colors.
258|datasets/VCTK-Corpus/wav22/p258/p258_050.wav|It should be an enjoyable and challenging period of their lives.
243|datasets/VCTK-Corpus/wav22/p243/p243_111.wav|We hope for a fresh board with a fresh, clear look at things.
245|datasets/VCTK-Corpus/wav22/p245/p245_093.wav|We are in the hat.
245|datasets/VCTK-Corpus/wav22/p245/p245_345.wav|However, he will have his work cut out defending his title.
285|datasets/VCTK-Corpus/wav22/p285/p285_379.wav|They've got three-quarters of the way.
297|datasets/VCTK-Corpus/wav22/p297/p297_141.wav|Others have tried to explain the phenomenon physically.
335|datasets/VCTK-Corpus/wav22/p335/p335_185.wav|It sounds a bit of an own goal.
287|datasets/VCTK-Corpus/wav22/p287/p287_415.wav|No, because it was too many.
273|datasets/VCTK-Corpus/wav22/p273/p273_226.wav|DAVID Sutherland does not beat about the bush.
362|datasets/VCTK-Corpus/wav22/p362/p362_125.wav|Locate in Scotland also refused to comment.
302|datasets/VCTK-Corpus/wav22/p302/p302_125.wav|A hospital spokeswoman described his condition as stable.
299|datasets/VCTK-Corpus/wav22/p299/p299_163.wav|But when he left, the decision was forced upon us.
363|datasets/VCTK-Corpus/wav22/p363/p363_138.wav|We are about to have our own Parliament.
256|datasets/VCTK-Corpus/wav22/p256/p256_174.wav|I am pleased with the result, as it was a possible upset.
268|datasets/VCTK-Corpus/wav22/p268/p268_302.wav|We also need a small plastic snake and a big toy frog for the kids.
271|datasets/VCTK-Corpus/wav22/p271/p271_067.wav|She is an expert on medical ethics.
280|datasets/VCTK-Corpus/wav22/p280/p280_096.wav|They won't actually make any money from it.
317|datasets/VCTK-Corpus/wav22/p317/p317_380.wav|There was no need for such a hostel.
257|datasets/VCTK-Corpus/wav22/p257/p257_155.wav|The home was now under new management.
307|datasets/VCTK-Corpus/wav22/p307/p307_276.wav|There are schoolboys in uniform.
347|datasets/VCTK-Corpus/wav22/p347/p347_186.wav|We gave them the goal.
263|datasets/VCTK-Corpus/wav22/p263/p263_029.wav|We've got a lot of that sort of nonsense in the North-east.
272|datasets/VCTK-Corpus/wav22/p272/p272_186.wav|Suddenly, the rugby world had changed.
264|datasets/VCTK-Corpus/wav22/p264/p264_424.wav|He is fully fit.)
236|datasets/VCTK-Corpus/wav22/p236/p236_075.wav|I was there five months ago.
300|datasets/VCTK-Corpus/wav22/p300/p300_264.wav|Butcher has only one idea in mind.
312|datasets/VCTK-Corpus/wav22/p312/p312_206.wav|I cannot say anymore.
300|datasets/VCTK-Corpus/wav22/p300/p300_400.wav|The performance, for this listener, didn't come off.
336|datasets/VCTK-Corpus/wav22/p336/p336_103.wav|This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue.
272|datasets/VCTK-Corpus/wav22/p272/p272_306.wav|We are a peaceful people.
233|datasets/VCTK-Corpus/wav22/p233/p233_271.wav|The talks were announced yesterday by Brian Wilson, the foreign office minister.
232|datasets/VCTK-Corpus/wav22/p232/p232_358.wav|Downing Street will make the second appointment in the Scotland Office today.
264|datasets/VCTK-Corpus/wav22/p264/p264_328.wav|After the match, do you?)
333|datasets/VCTK-Corpus/wav22/p333/p333_297.wav|Throughout the centuries people have explained the rainbow in various ways.
253|datasets/VCTK-Corpus/wav22/p253/p253_354.wav|Their time has gone.
363|datasets/VCTK-Corpus/wav22/p363/p363_194.wav|It was important in training terms.
269|datasets/VCTK-Corpus/wav22/p269/p269_009.wav|It was a delight on every level.
258|datasets/VCTK-Corpus/wav22/p258/p258_113.wav|Until recently, she worked as a recruitment consultant in London.
362|datasets/VCTK-Corpus/wav22/p362/p362_328.wav|They finished second and third.
323|datasets/VCTK-Corpus/wav22/p323/p323_239.wav|The same goes for Russia.
302|datasets/VCTK-Corpus/wav22/p302/p302_272.wav|You were the kidnappers.
334|datasets/VCTK-Corpus/wav22/p334/p334_387.wav|Scottish Women appear at Eden Court, Inverness, tonight.
229|datasets/VCTK-Corpus/wav22/p229/p229_253.wav|And a film maker was born.
231|datasets/VCTK-Corpus/wav22/p231/p231_357.wav|It was a lovely experience.
314|datasets/VCTK-Corpus/wav22/p314/p314_179.wav|I have got a knife.
335|datasets/VCTK-Corpus/wav22/p335/p335_274.wav|We have been treated with complete contempt.
249|datasets/VCTK-Corpus/wav22/p249/p249_043.wav|Both sides have been hit by injury.
253|datasets/VCTK-Corpus/wav22/p253/p253_405.wav|Yet the data is compelling.
237|datasets/VCTK-Corpus/wav22/p237/p237_042.wav|I was concerned with the way they tried to justify his actions.
250|datasets/VCTK-Corpus/wav22/p250/p250_425.wav|Is there a waiting list ?
283|datasets/VCTK-Corpus/wav22/p283/p283_108.wav|It was not hard to feel some sympathy for Baxter yesterday.
374|datasets/VCTK-Corpus/wav22/p374/p374_066.wav|This time it is official.
266|datasets/VCTK-Corpus/wav22/p266/p266_095.wav|went on sale.
265|datasets/VCTK-Corpus/wav22/p265/p265_127.wav|Family liaison officers are now working to support the family.
275|datasets/VCTK-Corpus/wav22/p275/p275_341.wav|There could be a way back.
308|datasets/VCTK-Corpus/wav22/p308/p308_323.wav|All of us do.
249|datasets/VCTK-Corpus/wav22/p249/p249_082.wav|Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.
272|datasets/VCTK-Corpus/wav22/p272/p272_185.wav|He was popular.
360|datasets/VCTK-Corpus/wav22/p360/p360_364.wav|Or was it?
257|datasets/VCTK-Corpus/wav22/p257/p257_064.wav|He knew his job inside out.
312|datasets/VCTK-Corpus/wav22/p312/p312_331.wav|It was no avail.
241|datasets/VCTK-Corpus/wav22/p241/p241_176.wav|Is that Titanic?
314|datasets/VCTK-Corpus/wav22/p314/p314_121.wav|Nothing can bring back their son.
302|datasets/VCTK-Corpus/wav22/p302/p302_043.wav|I shall be voting Yes to support him.
236|datasets/VCTK-Corpus/wav22/p236/p236_199.wav|Analysts said the offer was fair.
272|datasets/VCTK-Corpus/wav22/p272/p272_095.wav|Strathclyde police have appealed for witnesses.
271|datasets/VCTK-Corpus/wav22/p271/p271_291.wav|Local managers are already involved in talks with potential investors.
294|datasets/VCTK-Corpus/wav22/p294/p294_245.wav|We are the weakest link.
243|datasets/VCTK-Corpus/wav22/p243/p243_264.wav|His name was first linked last year to Business for Scotland.
262|datasets/VCTK-Corpus/wav22/p262/p262_180.wav|While they went on holiday, we got the contract.
269|datasets/VCTK-Corpus/wav22/p269/p269_225.wav|They had a confession.
281|datasets/VCTK-Corpus/wav22/p281/p281_234.wav|He wants to win a major.
362|datasets/VCTK-Corpus/wav22/p362/p362_150.wav|We have nothing to hide.
333|datasets/VCTK-Corpus/wav22/p333/p333_390.wav|But who shot the president?
273|datasets/VCTK-Corpus/wav22/p273/p273_397.wav|The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases.
256|datasets/VCTK-Corpus/wav22/p256/p256_107.wav|They were behind the wheel.
335|datasets/VCTK-Corpus/wav22/p335/p335_236.wav|The team this year is going places.
294|datasets/VCTK-Corpus/wav22/p294/p294_181.wav|That's the name of the game, though.
245|datasets/VCTK-Corpus/wav22/p245/p245_253.wav|This is a huge confidence boost.
277|datasets/VCTK-Corpus/wav22/p277/p277_145.wav|The record companies have gone through the floor.
267|datasets/VCTK-Corpus/wav22/p267/p267_269.wav|Anyway, the job will be part-time.
347|datasets/VCTK-Corpus/wav22/p347/p347_061.wav|I certainly believe we can do it.
292|datasets/VCTK-Corpus/wav22/p292/p292_229.wav|It's not before time.
273|datasets/VCTK-Corpus/wav22/p273/p273_251.wav|It would seem a natural progression.
335|datasets/VCTK-Corpus/wav22/p335/p335_125.wav|There are so many people to thank.
264|datasets/VCTK-Corpus/wav22/p264/p264_463.wav|I was independent but I am not now.)
272|datasets/VCTK-Corpus/wav22/p272/p272_054.wav|The proposals are to be debated on Monday by city councillors.
330|datasets/VCTK-Corpus/wav22/p330/p330_170.wav|He moved back to Edinburgh, where he lived with his mother.
335|datasets/VCTK-Corpus/wav22/p335/p335_002.wav|I am in a very difficult position.
264|datasets/VCTK-Corpus/wav22/p264/p264_179.wav|That approach has passed its sell by date.)
312|datasets/VCTK-Corpus/wav22/p312/p312_125.wav|This looks like it's anything but open.
252|datasets/VCTK-Corpus/wav22/p252/p252_166.wav|The allegations were still under investigation, he added.
281|datasets/VCTK-Corpus/wav22/p281/p281_308.wav|He had returned to die.
287|datasets/VCTK-Corpus/wav22/p287/p287_240.wav|Had this been common practice ?
232|datasets/VCTK-Corpus/wav22/p232/p232_395.wav|However, no further action was taken by police.
234|datasets/VCTK-Corpus/wav22/p234/p234_201.wav|Still, he did not let himself down this week.
335|datasets/VCTK-Corpus/wav22/p335/p335_353.wav|When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.
334|datasets/VCTK-Corpus/wav22/p334/p334_157.wav|Its national defence policy is defensive in nature.
261|datasets/VCTK-Corpus/wav22/p261/p261_238.wav|My life has changed a lot.
280|datasets/VCTK-Corpus/wav22/p280/p280_357.wav|The allegations were still under investigation, he added.
237|datasets/VCTK-Corpus/wav22/p237/p237_148.wav|Strathclyde Police are expected to make an announcement next month.
306|datasets/VCTK-Corpus/wav22/p306/p306_050.wav|The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows.
271|datasets/VCTK-Corpus/wav22/p271/p271_413.wav|However, the figures were disputed by the Scottish Prison Service.
282|datasets/VCTK-Corpus/wav22/p282/p282_163.wav|I saw military vehicles in the distance.
294|datasets/VCTK-Corpus/wav22/p294/p294_424.wav|The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows.
313|datasets/VCTK-Corpus/wav22/p313/p313_019.wav|I think the Scottish bid is very strong.
262|datasets/VCTK-Corpus/wav22/p262/p262_095.wav|The scene is about this?
285|datasets/VCTK-Corpus/wav22/p285/p285_205.wav|What was the difference between them?
329|datasets/VCTK-Corpus/wav22/p329/p329_209.wav|It was the same old story.
302|datasets/VCTK-Corpus/wav22/p302/p302_213.wav|I couldn't make out what was going on.
271|datasets/VCTK-Corpus/wav22/p271/p271_331.wav|It is the Holiday programme with a mortgage.
292|datasets/VCTK-Corpus/wav22/p292/p292_074.wav|Special measures were needed.
245|datasets/VCTK-Corpus/wav22/p245/p245_005.wav|It was forced to divert.
298|datasets/VCTK-Corpus/wav22/p298/p298_253.wav|Our dispute is with the company, not with the travelling public.
306|datasets/VCTK-Corpus/wav22/p306/p306_275.wav|He's been the key to everything.
280|datasets/VCTK-Corpus/wav22/p280/p280_088.wav|He really played us into a corner.
232|datasets/VCTK-Corpus/wav22/p232/p232_212.wav|It's a way of life.
246|datasets/VCTK-Corpus/wav22/p246/p246_205.wav|I was in the train station overnight.
